,name,dept
0,ACCT 2010 - Principles of Accounting I (3 units),ACCT
1,ACCT 3010 - Financial Accounting I (3 units),ACCT
2,ACCT 3030 - Intermediate Financial Accounting for Non-Accounting Majors (3 units),ACCT
3,ACCT 3610 - Business Law (3 units),ACCT
4,ACCT 3880 - Professional Excellence Program (1 unit),ACCT
5,ACCT 4010 - Advanced Financial Accounting (3 units),ACCT
6,ACCT 4510 - Auditing (3 units),ACCT
7,ACCT 4710 - Accounting Analytics for Professional Accountants (3 units),ACCT
8,ACCT 5100 - Financial Accounting Foundations (2 units),ACCT
9,ACCT 5160 - Corporate Financial Reporting I (2 units),ACCT
10,ACCT 5170 - Corporate Financial Reporting II (2 units),ACCT
11,ACCT 5210 - Managerial Accounting Foundations (2 units),ACCT
12,ACCT 5220 - International Treasury Management (2 units),ACCT
13,ACCT 5410 - Taxation (2 units),ACCT
14,ACCT 5630 - Business Law (2 units),ACCT
15,ACCT 5710 - Data Analytics in Accounting (2 units),ACCT
16,"ACCT 5801 - Cryptocurrency, Blockchain and Their Business Applications (2 units)",ACCT
18,AESF 5210 - Fluid Dynamics (3 units),AESF
19,AESF 5310 - Advanced Aerodynamics (3 units),AESF
20,AESF 5320 - Advanced Aircraft Structures (3 units),AESF
21,AESF 5330 - Advanced Aircraft Design (3 units),AESF
22,AESF 5370 - Composites and Nanocomposites (3 units),AESF
23,AESF 5930 - Finite Element Methods (3 units),AESF
24,AESF 6910O - Hong Kong Airworthiness (3 units),AESF
25,AESF 6950A - Aeronautical Independent Project (3 units),AESF
26,AESF 6950B - Aeronautical Independent Project (6 units),AESF
29,BIBU 4820 - Biotechnology Entrepreneurship and Business Operations (3 units),BIBU
30,BIBU 4840 - Biotechnology and Business Capstone Project (3 units),BIBU
31,BIBU 4850 - Biotechnology and Business Project Research (6 units),BIBU
32,BIEN 2310 - Modeling for Chemical and Biological Engineering (3 units),BIEN
33,BIEN 2610 - Chemical Biology for Engineers (3 units),BIEN
34,BIEN 2990 - Academic and Professional Development I (1 unit),BIEN
35,BIEN 3410 - Introduction to Bioinstrumentation and Bioimaging (3 units),BIEN
36,BIEN 3910 - Bioengineering Laboratory (4 units),BIEN
37,BIEN 4920 - Bioengineering Capstone Design (6 units),BIEN
39,BIEN 5040 - Introduction to Neural Engineering (3 units),BIEN
40,BIEN 5050 - Global Health Ethics (3 units),BIEN
41,BIEN 6800S - Bioengineering Seminar (0 units),BIEN
44,BIPH 3010 - Advanced Biological Physics (3 units),BIPH
47,BTEC 5550 - Nutraceuticals and Transgenic Products (3 units),BTEC
48,BTEC 5760 - Concepts in Bioprocessing (3 units),BTEC
49,BTEC 5900 - Immuno Biotechnology (3 units),BTEC
50,BTEC 6900 - Case Investigation in Biotechnology (3 units),BTEC
51,BTEC 6930 - Directed Biotechnological Research (4 units),BTEC
52,BTEC 6940 - Advanced Biotechnological Research (4 units),BTEC
53,CBME 5810 - Energy Integration and Optimization for Process Industry (3 units),CBME
54,"CBME 5820 - Energy, Environment and Sustainable Development (3 units)",CBME
55,CBME 5830 - Electrochemical Energy Technologies (3 units),CBME
56,CBME 6000D - Process Reactor Selection and Design (3 units),CBME
57,CBME 6000E - Protein Engineering (3 units),CBME
58,CBME 6980A - Independent Project (3 units),CBME
59,CBME 6980B - Independent Project (6 units),CBME
60,CENG 1000 - Introduction to Chemical and Biological Engineering (3 units),CENG
61,CENG 1010 - Academic and Professional Development I (0 units),CENG
62,CENG 1600 - Biotechnology and Its Business Opportunities (3 units),CENG
63,CENG 1700 - Introduction to Environmental Engineering (3 units),CENG
64,CENG 1980 - Industrial Training (0 units),CENG
65,CENG 2110 - Process and Product Design Principles (3 units),CENG
66,CENG 2310 - Modeling for Chemical and Biological Engineering (3 units),CENG
67,CENG 3210 - Separation Processes (3 units),CENG
68,CENG 3220 - Heat and Mass Transfer (3 units),CENG
69,CENG 3230 - Chemical and Biological Reaction Engineering (3 units),CENG
70,CENG 3950 - Chemical and Environmental Engineering Laboratory (4 units),CENG
71,"CENG 4140 - Energy Resources, Conversions and Technologies (3 units)",CENG
72,CENG 4620 - Bioproducts and Processing (3 units),CENG
73,CENG 4710 - Environmental Control (3 units),CENG
74,CENG 4920 - Chemical Engineering Capstone Design (6 units),CENG
76,CENG 4980R - Investigation Project (3 units),CENG
77,CENG 5100 - Advanced Reaction Engineering (3 units),CENG
78,CENG 5930 - Electrochemical Energy Technologies (3 units),CENG
79,CENG 6000M - Advanced Control and Data Science (3 units),CENG
80,CENG 6800S - Chemical and Biomolecular Engineering Seminar (0 units),CENG
83,CHEM 1010 - General Chemistry IA (3 units),CHEM
